job_title,company_name,city,province,experience,years_of_exp,skills
QA Documentation Officer,APEX Pharma -,"Badr City, Cairo, Egypt",Cairo,Experienced,2 - 3 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Senior MEP Engineer,Nacita -,"6th of October, Giza, Egypt",Giza,Experienced,4 - 6 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Microsoft SQL Server Database Administrator,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt",Giza,Experienced,2 - 3 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Senior Data Center Ethernet Network Engineer,NVIDIA -,"Dubai, United Arab Emirates",United Arab Emirates,Experienced,10+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Senior Front End Developer,ComplyMarket   -,"Sidi Bishr, Alexandria, Egypt",Alexandria,Experienced,10+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Technical Support Engineer,GPS -,"10th of Ramadan City, Sharqia, Egypt",Sharqia,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
IT Support Engineer,GPS -,"Heliopolis, Cairo, Egypt",Cairo,Experienced,2 - 3 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Software Engineer - Data Infrastructure - OpenSearch/ElasticSearch,Canonical -,"Riyadh, Saudi Arabia",Saudi Arabia,Entry Level,2 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
IT Lead,Sutherland -,"Alexandria, Egypt",Egypt,Manager,6+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Technical Lead,Zeidex -,"Maadi, Cairo, Egypt",Cairo,Manager,7 - 14 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Software Engineer - Data Infrastructure,Canonical -,"Riyadh, Saudi Arabia",Saudi Arabia,Entry Level,2 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Senior Backend (Node.js),Erada -,"Maadi, Cairo, Egypt",Cairo,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
"Data Analyst - Education Reporting & Transcript Analysis - Freelance, Remote",Magic -,"Dubai, United Arab Emirates",United Arab Emirates,Senior Management,2 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Backend Developer (Java),Square Solutions -,"Cairo, Egypt",Egypt,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Engineer - Data & Analytics - Customer Experience & Engagement - Dubai Holding Community Management,Jumeirah -,"Dubai, United Arab Emirates",United Arab Emirates,Experienced,Computer Science,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Senior IT Specialist,Outservingplus -,"Cairo, Egypt",Egypt,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Business Analyst,Erada -,"Maadi, Cairo, Egypt",Cairo,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Sr. FLS Engineer - Metro/Rail/Data Centre/Defense /Transportation,Energy Job Search -,"Dubai, United Arab Emirates",United Arab Emirates,Experienced,Computer Science,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
AI Trainer Technical Track Engineers & Developers,Avanguard -,"New Cairo, Cairo, Egypt",Cairo,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Backend Developer,Confidential -,"Cairo, Egypt",Egypt,Experienced,4 - 6 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Medical Sales Representative - ( Haram - Shubra - Maadi - Nasser City - Masr El Gdeda ),Alfa Laboratories -,"Nasr City, Cairo, Egypt",Cairo,Entry Level,0 - 3 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Senior Software Technical Support Engineer,GET Group- Egypt -,"Sheraton, Cairo, Egypt",Cairo,Experienced,4 - 7 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Senior Laravel Backend Developer - ERP Systems Specialist,Maxevia Corporate -,"Nasr City, Cairo, Egypt",Cairo,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Quality Control Engineer (Chemist),Good Seal Packaging   -,"10th of Ramadan City, Sharqia, Egypt",Sharqia,Entry Level,1 - 3 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Research And Development Chemist (PVC Compound),Intertrade Co.  -,"10th of Ramadan City, Sharqia, Egypt",Sharqia,Entry Level,1 - 3 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
SAP ABAP Developer,Pharco Corporation -,"Ameria, Alexandria, Egypt",Alexandria,Entry Level,2 - 4 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
Database Administrator,Confidential -,"Cairo, Egypt",Egypt,Experienced,3 - 8 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Microsoft Office', 'Microsoft Excel']"
IT Support Specialist,LEEDS FIT-OUT -,"Sheikh Zayed, Giza, Egypt",Giza,Entry Level,0 - 2 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Senior Network Engineer,Fixed Solutions -,"Cairo, Egypt",Egypt,Experienced,5+ Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
IT Manager,Confidential -,"New Cairo, Cairo, Egypt",Cairo,Manager,11 - 15 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
IT Help Desk Specialist,Swiss Garment Company -,"10th of Ramadan City, Sharqia, Egypt",Sharqia,Experienced,1 - 3 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Oracle Developer,OROUBA For Food Industry (Basma) -,"Obour City, Cairo, Egypt",Cairo,Experienced,2 - 5 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Mechanical Tender Engineer,Total Air -,"Cairo, Egypt",Egypt,Experienced,7 - 10 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Cybersecurity & Infrastructure Section Head,Alex Apparels for Garment Manufacturing  -,"Ameria, Alexandria, Egypt",Alexandria,Senior Management,10+ Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Sales Specialist. Data Governance and Quality,Informatica -,"Riyadh, Saudi Arabia",Saudi Arabia,Experienced,Computer Science,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Cyber Security Engineer,Rahala -,"Mohandessin, Giza, Egypt",Giza,Experienced,3+ Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Specialist - Technical Support,Allianz -,"New Cairo, Cairo, Egypt",Cairo,Entry Level,1 - 3 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Senior Android Developer,Madar Soft -,"Fleming, Alexandria, Egypt",Alexandria,Experienced,3 - 3 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Senior Full Stack Developer (.NET Core & Angular),Confidential -,"6th of October, Giza, Egypt",Giza,Experienced,4 - 7 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Mechanical Design Engineer,Confidential -,"Dokki, Giza, Egypt",Giza,Experienced,4 - 7 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Mechanical Site Engineer,Total Air -,"Cairo, Egypt",Egypt,Experienced,4 - 8 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
IT Manager,Memaar Alashraaf -,"New Cairo, Cairo, Egypt",Cairo,Manager,7 - 10 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Communication', 'Network', 'Computer Science', 'Hardware', 'Help desk', 'IT']"
Technical Office Engineer (Lifting Plan ),Ship & C.R.E.W  -,"Alexandria, Egypt",Egypt,Entry Level,0 - 3 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
IOS Mobile Developer,Billqode -,"Sheraton, Cairo, Egypt",Cairo,Experienced,5 - 7 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
System Engineer,Talaat Moustafa Group -,"Giza, Egypt",Egypt,Experienced,2 - 4 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Systems Data Analyst - Operations,myZoi |  Financial Inclusion Technologies -,"Dubai, United Arab Emirates",United Arab Emirates,Experienced,Computer Science,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Chemist,O’dassia -,"Meknes, Morocco",Morocco,Experienced,3 - 10 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Senior Backend Developer PHP / Laravel,Sulfah -,"Maadi, Cairo, Egypt",Cairo,Experienced,5 - 8 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Odoo Developer,Smart Technology Solutions -,"Damietta, Damietta, Egypt",Damietta,Experienced,3+ Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Cyber Security Specialist,Confidential -,"Cairo, Egypt",Egypt,Experienced,3 - 8 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
IT Infrastructure Manager,Confidential -,"Sheraton, Cairo, Egypt",Cairo,Manager,15 - 20 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Lab Engineer,Midea Group -,"Alsadat City, Monufya, Egypt",Monufya,Entry Level,1 - 3 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Senior Sales Account Manager,qualidev -,"Maadi, Cairo, Egypt",Cairo,Experienced,5+ Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Integration Engineer (Automation),Confidential -,"Assiut, Egypt",Egypt,Experienced,2+ Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Senior Product Manager,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt",Cairo,Manager,3 - 5 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Information Security Engineer,Erada -,"Maadi, Cairo, Egypt",Cairo,Experienced,5 - 7 Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Product Designer,Erada -,"Maadi, Cairo, Egypt",Cairo,Experienced,3+ Yrs of Exp,"['Engineering - Construction/Civil/Architecture', 'Engineering - Mechanical/Electrical', 'Engineering', 'technical office engineer', 'Technical Office', 'Office engineer', 'engineer', 'AutoCAD Software', 'SolidWorks', 'Microsoft Office']"
Senior Full Stack Developer .Net + Angular,ICIS -,"New Cairo, Cairo, Egypt",Cairo,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Automation Engineer,Creative Motion -,"Maadi, Cairo, Egypt",Cairo,Experienced,2 - 3 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
IT Technical Support Specialist,Misr Elkheir Foundation -,"Mokattam, Cairo, Egypt",Cairo,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Senior Data Engineer - EM,Imagine Foundation e.V. -,"Dubai, United Arab Emirates",United Arab Emirates,Experienced,Computer Science,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
BI DWH Reporting Specialist,Efada Technology -,"6th of October, Giza, Egypt",Giza,Experienced,2 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
AI Engineering Manager,Link Development -,"Cairo, Egypt",Egypt,Manager,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
IT Governance Head,Pharma Overseas  -,"Cairo, Egypt",Egypt,Senior Management,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Senior Database Admin (SQL),BI-Technologies -,"New Cairo, Cairo, Egypt",Cairo,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Sr. Backend Developer,EZeats  -,"Heliopolis, Cairo, Egypt",Cairo,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Software Tester,Sky logistics  -,"Sheikh Zayed, Giza, Egypt",Giza,Experienced,1 - 3 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Quality Control Engineer,WUZZUF -,"Maadi, Cairo, Egypt",Cairo,Entry Level,1 - 3 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Quality Control Chemist,GlassRock Insulation Co. -,"Alsadat City, Monufya, Egypt",Monufya,Entry Level,1 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
IT Specialist,EGEC -,"Haram, Giza, Egypt",Giza,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Data Analyst,Greenfix Property Care -,"Dubai, United Arab Emirates",United Arab Emirates,Experienced,Data Analysis,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
System Administrator,Confidential -,"Cairo, Egypt",Egypt,Experienced,4 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5']"
Software Developer,RISEUP (Endemag for Administrative Skills Development) -,"Cairo, Egypt",Egypt,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Senior System Engineer,Atco Pharma For Pharmaceutical Industries -,"Nasr City, Cairo, Egypt",Cairo,Experienced,5+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
"Digital Transformation Strategy Consultant | Muscat,Oman",Global Solutions - GS Oman -,"Muscat, Oman",Oman,Senior Management,12+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Senior Software Quality Control Engineer,BI-Technologies -,"New Cairo, Cairo, Egypt",Cairo,Experienced,3 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Senior Java Developer,Glow Star -,"Nasr City, Cairo, Egypt",Cairo,Experienced,5 - 10 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Deputy IT Manager for Infrastructure,Nile University -,"6th of October, Giza, Egypt",Giza,Experienced,10 - 15 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Technical Project Management Consultant | Maritime Services,Confidential -,"Muscat, Oman",Oman,Manager,8 - 12 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Full-Stack PHP Developer (CodeIgniter),Confidential -,"Cairo, Egypt",Egypt,Experienced,5 - 10 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
"Backend Developer "" Java""",Efada Technology -,"6th of October, Giza, Egypt",Giza,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Senior Electrical Design Engineer,Confidential -,"Nasr City, Cairo, Egypt",Cairo,Experienced,7 - 10 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Network Technical Engineer,Confidential -,"Heliopolis, Cairo, Egypt",Cairo,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Senior Flutter Developer - Part-time,Codestien -,"6th of October, Giza, Egypt",Giza,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Backend Developer - PHP & Laravel,Softxpert Incorporation  -,"Alexandria, Egypt",Egypt,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Odoo Developer,Knoz Elhekma Company -,"Sheraton, Cairo, Egypt",Cairo,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Business Analyst,Egabi FSI  -,"Sheraton, Cairo, Egypt",Cairo,Entry Level,1 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Amazon AWS', 'Software Development', 'Software Engineering', 'React.js', 'Node.js', 'Typescript', 'JavaScript', 'Computer Science']"
Senior Android Developer,SURE International Technology -,"Nasr City, Cairo, Egypt",Cairo,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Android', 'Computer Science', 'Mobile Development']"
